key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match,tic,baseline,bbin,fap_lut
280789967_P2.0_R2_27,inj,True,0.578532001536958,0.5500555724789411,15.0,0.2497502497502497,0.3069306930693069,2.0,False,280789967,27.350305081017723,0,0.5448637840539865
161458420_P2.0_R2_25,inj,True,0.6937498911787329,0.5333525582443498,11.0,0.7972027972027972,0.8316831683168316,2.0,False,161458420,27.88358166666876,0,0.96575856035991
277891996_P2.0_R2_24,inj,True,0.664867685079545,0.6512367702151235,13.0,0.0429570429570429,0.0303703860971758,2.0,True,277891996,27.883024502312765,0,0.20469882529367658
62221982_P2.0_R2_26,inj,True,1.0095332790356797,0.6513625453761107,20.0,0.0359640359640359,0.0673950181293007,2.0,True,62221982,27.88377028935065,0,0.010747313171707074
52314627_P2.0_R2_28,inj,True,0.6642098900471737,0.7205524523590956,12.0,0.0589410589410589,0.086121752812497,2.0,True,52314627,27.406514675923972,0,0.08797800549862535
144102233_P2.0_R2_31,inj,True,2.4288641286388866,0.5270405602326481,12.0,0.4855144855144855,0.4554455445544554,2.0,False,144102233,27.3505251967581,0,0.9355161209697576
70723782_P2.0_R2_29,inj,True,0.501815152268744,0.4968325495332135,19.0,0.3276723276723277,0.3861386138613861,2.0,False,70723782,27.40701469907799,0,0.5051237190702325
382413530_P2.0_R2_32,inj,True,0.6680644022643554,0.520287368570856,19.0,0.1778221778221778,0.2079207920792079,2.0,True,382413530,27.883410462956817,0,0.3571607098225444
92452841_P2.0_R2_33,inj,True,0.5022769269392765,0.6177953172832659,14.0,0.0639360639360639,0.0514018305657706,2.0,False,92452841,27.867675405090267,0,0.26718320419895025
278779083_P1.0_R2_23,inj,True,0.5000973692888001,0.598695184513848,61.0,0.0009990009990009,1e-06,1.0,True,278779083,84.09119798611209,3,0.00024993751562109475
251828912_P2.0_R2_34,inj,True,0.9955942894690712,0.6358348462180748,18.0,0.0219780219780219,0.0370313435921073,2.0,True,251828912,27.4071835532377,0,0.04448887778055486
308209067_P2.0_R2_35,inj,True,0.5006683737015443,0.5423074320317501,21.0,0.1108891108891109,0.0990993442114041,2.0,False,308209067,27.40722414352058,0,0.14946263434141466
425884565_P2.0_R2_30,inj,True,1.99376198380925,0.4186521458708526,34.0,0.3316683316683316,0.3267326732673267,2.0,True,425884565,56.22063111110765,3,0.398400399900025
229112415_P4.0_R2_37,inj,True,0.6187042272959332,0.5111309172500955,15.0,0.6353646353646354,0.6831683168316832,4.0,False,229112415,27.40697680555604,0,0.7790552361909523
248955543_P4.0_R2_39,inj,True,0.5468086830101309,0.7307916997636379,8.0,0.1818181818181818,0.1683168316831683,4.0,False,248955543,27.350321493053343,0,0.5598600349912521
469933344_P4.0_R2_40,inj,True,0.8135252134363347,0.551576205176088,14.0,0.2647352647352647,0.2178217821782178,4.0,False,469933344,27.88366439814854,0,0.6560859785053736
439455229_P4.0_R2_42,inj,True,1.2474348273098,0.6955145013071482,9.0,0.1278721278721278,0.1386138613861386,4.0,False,439455229,27.34981796296779,0,0.5538615346163459
52016952_P4.0_R2_41,inj,True,2.3201024213799175,0.5774388694342959,14.0,0.3026973026973027,0.3366336633663366,4.0,False,52016952,27.883384583328734,0,0.4918770307423144
