key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match
229012749_P8.0_R4_106,inj,True,1.1246083796738362,0.3798627261016876,19.0,0.9690309690309691,0.9702970297029703,8.0,False
270303376_P8.0_R4_107,inj,True,6.742484824595129,0.8207412164189162,6.0,0.2007992007992008,0.19801980198019803,8.0,False
231839537_P8.0_R4_101,inj,True,2.019364603123611,0.5774082531691335,16.0,0.3336663336663337,0.3465346534653465,8.0,False
92258567_P2.0_R8_108,inj,True,0.5026166209032699,0.7654866912738525,18.0,0.000999000999000999,0.00016091610353756564,2.0,False
144434171_P2.0_R8_110,inj,True,2.0240502331008217,0.5882022862944376,20.0,0.013986013986013986,1e-06,2.0,False
441491515_P2.0_R8_111,inj,True,1.9344243409518507,0.6241955323414419,12.0,0.2887112887112887,0.32673267326732675,2.0,False
260604509_P2.0_R8_115,inj,True,0.6635240136586178,0.7151186202869794,10.0,0.11488511488511488,0.054029643711056265,2.0,True
24270027_P2.0_R8_114,inj,True,0.6636181802585441,0.6808931514137896,11.0,0.04495504495504495,0.04905317683954585,2.0,True
120505367_P2.0_R8_113,inj,True,0.6708512867690289,0.8021708735915549,14.0,0.003996003996003996,1e-06,2.0,True
231045282_P2.0_R8_109,inj,True,2.005819472789144,0.6291163616598897,29.0,0.000999000999000999,1e-06,2.0,True
44624744_P2.0_R8_116,inj,True,2.0195744185315845,0.7357093179509512,18.0,0.000999000999000999,1e-06,2.0,True
231044412_P2.0_R8_112,inj,True,0.5001339318160427,0.579394226106508,32.0,0.004995004995004995,0.0024613066164240003,2.0,False
156087003_P2.0_R8_117,inj,True,0.5005075746376145,0.6335254839550092,20.0,0.004995004995004995,0.0001838304097902905,2.0,False
144446304_P2.0_R8_119,inj,True,0.5025235357508785,0.5601247481710744,20.0,0.03596403596403597,0.04618641450039323,2.0,False
389131517_P2.0_R8_118,inj,True,2.029265021489639,0.7390059119998188,16.0,0.003996003996003996,1e-06,2.0,False
149011533_P4.0_R8_120,inj,True,1.3458484885505917,0.5564750828848958,16.0,0.17182817182817184,0.21782178217821782,4.0,True
37774136_P4.0_R8_122,inj,True,0.9966408439819895,0.6625727147109635,12.0,0.13086913086913088,0.15841584158415842,4.0,False
117643471_P4.0_R8_121,inj,True,1.965008941733994,0.5424235446918108,14.0,0.2837162837162837,0.3069306930693069,4.0,False
406353280_P4.0_R8_125,inj,True,0.6836126464154261,0.412069504673674,15.0,0.9300699300699301,0.9207920792079208,4.0,False
284083051_P4.0_R8_126,inj,True,0.514821919455421,0.5419587237179652,12.0,0.5324675324675324,0.46534653465346537,4.0,False
52016952_P4.0_R8_124,inj,True,0.5012471651749316,0.5954918335312067,14.0,0.1048951048951049,0.10891089108910891,4.0,False
98659013_P4.0_R8_129,inj,True,2.324397571480035,0.4547176020354138,15.0,0.8121878121878122,0.7821782178217822,4.0,False
115284339_P4.0_R8_130,inj,True,3.1167675466426257,0.6528710648320878,9.0,0.22377622377622378,0.21782178217821782,4.0,False
143923307_P4.0_R8_127,inj,True,3.988122835745425,0.4651836118827306,22.0,0.5174825174825175,0.45544554455445546,4.0,True
70788069_P4.0_R8_128,inj,True,0.8373981641868746,0.37036691342541816,20.0,0.9180819180819181,0.900990099009901,4.0,False
219334470_P4.0_R8_131,inj,True,1.1136414399767247,0.43547125329047975,20.0,0.6623376623376623,0.6336633663366337,4.0,False
40103277_P2.0_R1_135,inj,True,1.4052674172400483,0.7361956071396015,8.0,0.31868131868131866,0.2376237623762376,2.0,False
12434574_P2.0_R1_134,inj,True,2.93957887074066,0.9133016486148339,9.0,0.07092907092907093,0.06661811283949039,2.0,False
181454895_P2.0_R1_133,inj,True,0.8235991225233708,0.44939310665376175,19.0,0.8151848151848152,0.8316831683168316,2.0,False
167797589_P4.0_R8_123,inj,True,1.33537094331,0.44461371920906234,42.0,0.04095904095904096,1e-06,4.0,True
336876701_P2.0_R1_136,inj,True,1.5293789444245762,0.44711249667144637,13.0,0.8661338661338661,0.8217821782178217,2.0,False
98678529_P2.0_R1_137,inj,True,0.5793283631596922,0.686965146861262,9.0,0.4275724275724276,0.46534653465346537,2.0,False
380436218_P2.0_R1_138,inj,True,0.6339052032028106,0.8151685579553972,9.0,0.04895104895104895,0.08081704521299939,2.0,False
206350311_P2.0_R1_132,inj,True,1.395729796182625,0.45511413071610063,22.0,0.45254745254745254,0.43564356435643564,2.0,False
220394878_P2.0_R1_140,inj,True,0.6320645927288623,0.7441583586033955,8.0,0.11188811188811189,0.08168965476085399,2.0,False
52315024_P2.0_R1_139,inj,True,0.5249217659249403,0.650310634635447,13.0,0.13086913086913088,0.16831683168316833,2.0,False
