tic,fap_ref,routed,Lambda,shape_pass,n_transits,fap_gate_pass
219233386,0.4265734265734265,False,0.0,False,0,
219234951,0.4545454545454545,False,0.0,False,0,
219236564,0.0849150849150849,False,0.0,False,0,
219240217,0.3606393606393606,False,0.0,False,0,
219246146,0.3316683316683316,False,0.0,False,0,
219251169,0.1268731268731268,False,0.0,False,0,
219317391,0.2757242757242757,False,0.0,False,0,
219318151,0.6133866133866134,False,0.0,False,0,
219342752,0.985014985014985,False,0.0,False,0,
220389925,0.7102897102897103,False,0.0,False,0,
220390069,0.0119880119880119,False,0.0,False,0,
220391299,0.2027972027972027,False,0.0,False,0,
220391375,0.5624375624375625,True,2.7142720727497567,True,10,False
220393352,0.5794205794205795,False,0.0,False,0,
220393406,0.6143856143856143,False,0.0,False,0,
220394878,0.3926073926073926,False,0.0,False,0,
219334470,0.8451548451548452,False,0.0,False,0,
219334689,0.4075924075924076,True,0.20906942222434038,True,59,False
219334997,0.4205794205794206,True,0.0,True,11,False
219337000,0.0869130869130869,False,0.0,False,0,
220397638,0.4535464535464535,False,0.0,False,0,
220399756,0.3476523476523476,False,0.0,False,0,
220405171,0.5754245754245755,True,3.39062335864396,True,62,False
220407099,0.3086913086913087,False,0.0,False,0,
220430530,0.5974025974025974,False,0.0,False,0,
220431435,0.7262737262737263,False,0.0,False,0,
220436741,0.1888111888111888,False,0.0,False,0,
220455309,0.1718281718281718,False,0.0,False,0,
220407213,0.6513486513486514,False,0.0,False,0,
220407530,0.8011988011988012,False,0.0,False,0,
220413881,0.1128871128871128,False,0.0,False,0,
220421994,0.0929070929070929,True,0.0,True,119,False
220459040,0.8561438561438561,False,0.0,False,0,
220482148,0.1848151848151848,False,0.0,False,0,
220485705,0.0599400599400599,False,0.0,False,0,
220491450,0.4255744255744256,False,0.0,False,0,
220595865,0.1068931068931069,False,0.0,False,0,
224278972,0.7662337662337663,False,0.0,False,0,
224281107,0.4095904095904096,True,0.0,True,32,False
224284606,0.6043956043956044,False,0.0,False,0,
228382006,0.2687312687312687,False,0.0,False,0,
228383297,0.7322677322677322,True,10.801845010961841,True,5,False
228507309,,False,0.0,False,0,
228507387,0.4665334665334665,False,0.0,False,0,
228569826,0.0619380619380619,False,0.0,False,0,
228613048,,False,0.0,False,0,
229012749,0.6703296703296703,True,0.08170854153031698,True,32,False
229051080,0.2277722277722277,False,0.0,False,0,
229053359,,False,0.0,False,0,
229112415,0.4765234765234765,True,0.48475734808535365,True,15,False
230983203,0.1758241758241758,False,0.0,False,0,
231009108,0.2667332667332667,False,0.0,False,0,
231023707,0.982017982017982,False,0.0,False,0,
