tic,P,Rp,b,k,t14_seeded,Lb,obs_R,P_hat,P_true,fap_sealed,fap_full,fap_cur,bitexact,gate_sealed,gate_full,gate_cur,n_cur,curtailed,t_sealed,t_full,t_cur
231009108,4.0,2,0.0,3,0.05,0.15000000000000002,0.9910597193907505,4.0494802885995815,4.0,0.26973026973026976,0.26973026973026976,0.01098901098901099,True,False,False,False,35,True,14.108570000000043,1.7280779999999822,0.061683000000016364
169266000,4.0,4,0.0,7,0.05,0.15000000000000002,0.9691692227360748,4.047554501542288,4.0,0.04795204795204795,0.04795204795204795,0.01098901098901099,True,False,False,False,196,True,13.85131100000001,1.987400999999977,0.3873890000000415
183594608,4.0,2,0.6,4,0.05,0.15000000000000002,0.9864064689473091,1.0007653134883014,4.0,0.36163836163836166,0.36163836163836166,0.01098901098901099,True,False,False,False,27,True,22.313482000000022,2.975785999999971,0.07760600000000295
369219815,4.0,4,0.3,7,0.1,0.30000000000000004,0.9592510008240408,0.5719808317565657,4.0,0.024975024975024976,0.024975024975024976,0.01098901098901099,True,False,False,False,500,True,13.192837999999995,1.9318509999999947,0.9654990000000225
150270977,4.0,1,0.6,2,0.1,0.30000000000000004,1.0,2.641663818666302,4.0,0.14985014985014986,0.14985014985014986,0.01098901098901099,True,False,False,False,67,True,31.103766000000007,3.9555910000000267,0.2623659999999859
370233036,4.0,4,0.6,6,0.1,0.30000000000000004,0.9657721005278839,4.07485823171142,4.0,0.06693306693306693,0.06693306693306693,0.01098901098901099,True,False,False,False,141,True,13.257171000000028,1.9094420000000127,0.2711909999999875
115043101,4.0,4,0.0,7,0.1,0.30000000000000004,0.9537439947457403,2.0138110865078747,4.0,0.03896103896103896,0.03896103896103896,0.01098901098901099,True,False,False,False,215,True,13.176013000000012,1.9140600000000063,0.4134440000000268
327939708,4.0,4,0.3,6,0.1,0.30000000000000004,0.9915503305941493,4.04924394176819,4.0,0.04195804195804196,0.04195804195804196,0.01098901098901099,True,False,False,False,176,True,13.066313999999977,2.020680000000027,0.358949999999993
231668630,4.0,4,0.6,7,0.05,0.15000000000000002,0.9519834999379899,0.5009910025670359,4.0,0.04595404595404595,0.04595404595404595,0.01098901098901099,True,False,False,False,258,True,14.731016000000011,1.868044999999995,0.4789449999999533
325338671,4.0,4,0.0,8,0.1,0.30000000000000004,0.8990460861463957,4.122546235827027,4.0,0.13086913086913088,0.13086913086913088,0.01098901098901099,True,False,False,False,66,True,13.721947,2.019327999999973,0.1313989999999876
