task,tic,period_days,radius_rearth,b,cost_full,cost_full_wall,cost_full_cpu_spread,cost_detector,cost_period,cost_tls,cost_comb,fast_path_eligible,routed_in_retime,confirmed_cheap,n_repeats,ge,E_surrogates,cost_detector_leverA,cost_detector_leverAB,cost_comb_leverA,cost_comb_leverAB,cost_comb_free_detector
5097,167551097,2.0,1,0.3,374.6279650000015,376.75104183299845,35.55592306425454,30.858469000000696,0.0,374.6279650000015,405.4864340000022,True,True,False,5,91.5,109.89010989010995,4.861898377186182,0.5385978474732497,379.4898633771877,375.1665628474747,374.6279650000015
5476,349273478,2.0,1,0.6,273.33986599999844,276.7531333750012,37.07991711533958,33.227788000000146,0.0,273.33986599999844,306.5676539999986,True,True,False,5,661.0,15.128593040847198,5.235195840554615,0.08435199121023114,278.5750618405531,273.42421799120865,273.33986599999844
6169,178171862,2.0,4,0.3,25.647118999999293,26.148990499998035,0.1357079109299723,9.017982999999733,0.0,25.647118999999293,34.665101999999024,True,True,False,5,28.5,357.1416494986879,1.4208260595556534,0.5083486399800027,27.067945059554948,26.155467639979296,25.647118999999293
5985,260852493,2.0,2,0.6,49.99776500000007,50.784438709000824,0.2423672404858619,12.875441000000135,0.0,49.99776500000007,62.87320600000021,True,True,False,5,329.0,30.3951367781155,2.028586891444798,0.06362413878441717,52.02635189144487,50.06138913878449,49.99776500000007
6242,234280067,2.0,4,0.6,51.81437799999912,53.40804875000322,0.2915737615683504,13.748360999999932,0.0,51.820284999999785,65.56864599999972,True,True,False,5,-0.0,1000.0,2.1661195840554486,2.1661195840554486,53.98640458405524,53.98640458405524,51.820284999999785
5730,33715956,2.0,2,0.6,465.48881300000176,473.0234586660008,50.86811429330682,34.139397999999346,0.0,465.48881300000176,499.6282110000011,True,True,False,5,643.0,15.552099533437014,5.378824326453339,0.08894189373059738,470.8676373264551,465.57775489373233,465.48881300000176
6074,260657210,2.0,4,0.6,258.3186370000003,263.6702359580013,2.5603475733098024,26.669731000001775,0.0,258.3186370000003,284.9883680000021,True,True,False,5,7.0,971.5948133425436,4.2019428076259295,4.082705075583401,262.52057980762623,262.4013420755837,258.3186370000003
5846,349273478,2.0,2,0.3,336.44029899999805,343.918910290995,8.306084606871353,34.00613700000031,0.0,336.44029899999805,370.4464359999984,True,True,False,5,208.5,48.076923076923094,5.357828422876998,0.26268305031856803,341.79812742287504,336.7029820503166,336.44029899999805
6084,166975595,2.0,4,0.0,279.7984240000005,287.3343416670032,2.117640340754486,19.4847660000014,0.0,279.7984240000005,299.2831900000019,True,True,False,5,113.0,88.49557522123897,3.069917441311076,0.27446955773411474,282.8683414413116,280.07289355773463,279.7984240000005
6439,268534632,2.0,4,0.3,24.199085000000196,24.400046041002497,0.0556791407557166,8.952128000000812,0.0,24.199085000000196,33.15121300000101,True,True,False,5,37.5,270.27026934692316,1.4104502914764159,0.38223099946978384,25.60953529147661,24.58131599946998,24.199085000000196
