tic,arm,P_true,Rp,b,period_min,sde,period_hat,recovered,period_ok,sde_ok
101101390,B_extended_pmin0.3,0.5,8,0.6,0.3,17.748286390051295,0.999323343410517,True,True,True
101101390,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,22.80018222275279,0.6200356249837248,True,True,True
11615061,A_edge_pmin0.5,0.5,8,0.0,0.5,18.374396657024985,1.00052908683582,False,True,True
11615061,B_extended_pmin0.3,0.5,8,0.0,0.3,18.374396657024985,1.00052908683582,False,True,True
11615061,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,21.069231722418778,0.6198950249326802,True,True,True
380858160,A_edge_pmin0.5,0.5,8,0.3,0.5,21.387847863391094,1.0003112754318169,False,True,True
380858160,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,17.117322312648284,0.6201849309299884,True,True,True
380858160,B_extended_pmin0.3,0.5,8,0.3,0.3,21.387847863391094,1.0003112754318169,False,True,True
150359212,A_edge_pmin0.5,0.5,8,0.3,0.5,51.33877922808115,1.0000771098182422,False,True,True
150359212,B_extended_pmin0.3,0.5,8,0.3,0.3,51.33877922808115,1.0000771098182422,False,True,True
150359212,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,63.43029042384451,0.6199248794778942,True,True,True
231831315,A_edge_pmin0.5,0.5,8,0.6,0.5,40.640332053468484,0.9999125021485086,False,True,True
231831315,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,44.38745949665929,0.6201011093102219,True,True,True
231831315,B_extended_pmin0.3,0.5,8,0.6,0.3,40.640332053468484,0.9999125021485086,False,True,True
