tic,P,Rp,b,k_inj,k_host,obs_R,fap_contaminated,fap_clean,ge_contaminated,ge_clean,gate_contaminated,gate_clean,n_transits
20923934,0.5,12,0.6,32,1,0.9939398408157833,0.000999000999000999,0.15884115884115885,0,158,True,False,36
389527466,0.5,12,0.0,48,1,0.9867621325017745,0.000999000999000999,0.13486513486513488,0,134,True,False,51
100101948,0.5,8,0.3,77,2,0.9954051896881678,0.000999000999000999,0.23376623376623376,0,233,True,False,100
218968119,0.5,12,0.0,47,0,0.9964375696742658,0.000999000999000999,0.007992007992007992,0,7,True,True,50
161376469,0.5,12,0.3,46,1,0.9756191271313563,0.000999000999000999,0.16283716283716285,0,162,True,False,50
231009108,1.0,2,0.6,3,0,0.9474472184964065,0.43756243756243757,0.000999000999000999,437,0,False,True,25
80342205,1.0,2,0.3,3,0,0.9908998589426645,0.3026973026973027,0.01998001998001998,302,19,False,False,25
369219815,1.0,2,0.3,3,1,0.9774579823101378,0.36163836163836166,0.16183816183816183,361,161,False,False,26
115043101,1.0,4,0.0,25,1,0.8796364620083431,0.000999000999000999,0.34665334665334663,0,346,True,False,26
327939708,1.0,4,0.3,23,0,0.985997614105848,0.000999000999000999,0.015984015984015984,0,15,True,False,25
231668630,1.0,4,0.6,19,0,0.9580342667335688,0.000999000999000999,0.08291708291708291,0,82,True,False,26
325338671,1.0,4,0.0,27,0,0.7662783469746431,0.001998001998001998,0.06393606393606394,1,63,True,False,26
139844443,1.0,4,0.6,24,0,0.9764099896500199,0.000999000999000999,0.1018981018981019,0,101,True,False,26
150270977,1.0,1,0.0,2,2,1.0,0.1958041958041958,0.1918081918081918,195,191,False,False,79
207090424,1.0,8,0.0,29,0,0.761447905088285,0.000999000999000999,0.06893106893106893,0,68,True,False,25
401986029,1.0,8,0.3,23,0,0.933298067907403,0.000999000999000999,0.006993006993006993,0,6,True,True,25
219317391,1.0,8,0.0,25,1,0.9366317552492016,0.000999000999000999,0.5544455544455544,0,554,True,False,26
231912935,1.0,4,0.3,47,3,0.986542743653003,0.000999000999000999,0.3756243756243756,0,375,True,False,54
150390619,0.5,12,0.6,130,1,0.9693854749484617,0.000999000999000999,0.4675324675324675,0,467,True,False,157
270269007,1.0,12,0.3,24,0,0.990040782931492,0.000999000999000999,0.04695304695304695,0,46,True,False,25
355508749,1.0,12,0.0,27,0,0.8304873328284733,0.000999000999000999,0.055944055944055944,0,55,True,False,25
278990983,1.0,8,0.3,38,1,0.9385284417829799,0.000999000999000999,0.21078921078921078,0,210,True,False,50
