tic,kind,P,t0,T14,Lambda,delta,n_in,n_transits,sign_pass,odd_even_pass,no_secondary_pass,shape_pass,confirmed_Tred0
100102303,random,3.7277202826367986,1357.8151210364485,0.1,0.0,-2.6779059034317598e-05,781,11,False,True,True,True,False
100102303,random,9.375455356300094,1360.8340159715776,0.4,0.0,-1.4761892361987673e-05,1429,5,False,True,True,True,False
100102303,random,18.51463395735166,1372.2794425268414,0.2,0.0,-9.664286515430912e-05,288,2,False,True,True,True,False
100102303,random,14.978406265002219,1360.0735094827692,0.2,0.0,-3.548748807651576e-05,468,4,False,True,True,True,False
100102303,random,2.8354848299892197,1356.7612680196585,0.1,0.0,-2.0885119193837076e-05,969,14,False,True,True,True,False
100102303,random,0.6073403970672203,1355.948997199214,0.2,0.05465063402263054,4.3771407980692026e-06,9135,66,True,True,True,True,True
100102303,random,3.600004136529883,1356.6090518647204,0.8,0.017191202254111592,2.504900955309176e-06,5708,11,True,True,True,True,True
100102303,random,15.924762072250576,1356.530795921837,0.1,1.5231823405126936,9.13945335242769e-05,283,4,True,True,True,True,True
100102303,random,2.342906587773399,1357.291305475152,0.2,0.0,-2.2719280485728953e-05,2388,17,False,True,True,True,False
100102303,random,1.3256218737377023,1355.9014011565707,0.2,0.0,-1.0851446583103718e-05,4219,31,False,True,True,True,False
100102303,random,16.10651339335925,1355.5693891676167,0.8,1.9882474114398878,3.793207441180976e-05,2149,4,True,True,True,True,True
100102303,random,11.293845247110225,1365.711457903331,0.8,0.0,-2.0306788484147148e-06,2283,4,False,True,True,True,False
100102303,random,2.0145275735222676,1356.5930899133944,0.1,0.121208759895893,1.1599334948016373e-05,1395,20,True,True,True,True,True
100102303,random,1.8575758171664118,1356.3056965780245,0.2,3.642679966513069,4.3970451139073473e-05,2929,21,True,True,True,True,True
100102303,random,18.374695651098662,1357.5605033208722,0.2,0.0,-0.00010465780114557176,330,3,False,True,True,True,False
100102303,random,15.666715344677396,1355.764128929953,0.8,1.1713744833640325,3.0993968970313044e-05,1915,4,True,True,True,True,True
100102303,random,3.8059822519541373,1356.7496033375762,0.1,0.0,-6.0509245931249106e-05,687,10,False,True,True,True,False
100102303,random,9.466483766512882,1362.4863941678213,0.4,0.0,-5.780552361514991e-05,1151,4,False,True,True,True,False
100102303,random,1.6082157757987487,1356.9447357566758,0.8,0.010255995766875628,1.8868545277567115e-06,13868,26,True,True,True,True,True
100102303,random,20.802084167428262,1366.2602984574628,0.1,0.0,-0.0002407871355622481,69,1,False,True,True,True,False
100029948,seed,1.3903332734284732,1365.2854965777321,0.05,4053.310069012899,0.028894311830382446,993,28,True,False,True,False,False
100029948,random,14.550688655785601,1360.8590130365226,0.05,0.08986945764005634,0.0003782828956271395,141,4,True,True,False,False,False
100029948,random,1.7731243945222281,1356.3419078245308,0.05,0.0,-0.0005474920956074458,805,23,False,False,True,False,False
100029948,random,0.6388654155895181,1355.4984694701793,0.2,222.77409127744585,0.006388437745638501,8637,61,True,False,False,False,False
100029948,random,4.300917262585538,1358.8690607325584,0.4,28.469644421144686,0.006075610043367162,2329,9,True,True,False,False,False
100029948,random,0.9465025215793226,1355.6207048938904,0.2,375.9374130258475,0.010370583235470288,5925,42,True,False,False,False,False
100029948,random,8.445960885965949,1355.366930807296,0.8,786.9301382557003,0.031039088358288502,2553,5,True,True,False,False,False
100029948,random,2.567134811434795,1356.0985474530805,0.1,27.379058120592568,0.004055820144077523,1141,16,True,False,False,False,False
100029948,random,1.5429895818080885,1356.1319966747685,0.1,16.23234126653786,0.00252773204405682,1711,24,True,True,False,False,False
100029948,random,9.966587064752753,1363.7857924155408,0.05,0.17934601244758935,0.0005311728957202498,144,4,True,True,True,True,True
100029948,random,2.132879129580272,1355.3988847634234,0.1,53.66302653642918,0.005226835440149187,1333,19,True,True,True,True,True
100029948,random,11.080262932887406,1361.4873241296918,0.1,0.03654747425577337,0.00041753459327236613,140,2,True,False,True,False,False
100029948,random,0.8689101966778019,1356.0868675917225,0.2,533.631303083059,0.012081026267726485,6274,45,True,False,False,False,False
100029948,random,11.002866933375037,1357.7359904168725,0.8,23.92511051911857,0.00558358555459624,2665,5,True,False,True,False,False
100029948,random,3.928788349752414,1355.684914921207,0.8,1038.3837995475667,0.028205291622817173,5348,11,True,True,False,False,False
100029948,random,1.1495185257958282,1355.4887091083137,0.8,151.7198513911874,0.008089899978766756,19170,36,True,False,False,False,False
100029948,random,24.440759507478308,1363.1295026345142,0.4,436.2080690837334,0.0474985956169959,567,2,True,False,True,False,False
100029948,random,0.5710024487027185,1355.5677465305064,0.8,165.58779403941654,0.004899039996507396,27523,72,True,False,False,False,False
100029948,random,24.05770803428024,1356.7213442313803,0.05,0.0,-0.0015032761961411133,72,2,False,True,True,True,False
100029948,random,7.187847624582328,1357.868448951248,0.05,15.05918862112343,0.003973962541639083,214,6,True,False,True,False,False
100029948,random,23.193336570415376,1373.2465637968935,0.2,2.320949246501204,0.005383025918882839,134,1,True,True,True,True,True
100067280,seed,10.006232576335263,1374.4328498025088,0.1,10.177703875773465,0.00018710734913631794,257,4,True,True,True,True,True
100067280,random,19.72761883057238,1368.8239664156206,0.05,0.08419500305918254,3.2228601506618925e-05,72,2,True,True,True,True,True
100067280,random,0.571299227751355,1355.6592652904599,0.4,0.0,-1.3024049465824922e-05,19409,71,False,True,True,True,False
100067280,random,0.7824808735483437,1355.4040757590474,0.1,0.0,-6.823034958279192e-06,3593,51,False,True,True,True,False
100067280,random,0.6734529889778684,1355.53969011439,0.05,0.0,-2.3752487721381428e-05,2032,59,False,True,True,True,False
100067280,random,2.0097688072514335,1355.7562892481267,0.8,0.0,-6.816880612695211e-07,11304,20,False,True,True,True,False
100067280,random,6.000869117795187,1359.2574293230623,0.05,0.5261708642688432,4.649371528983968e-05,216,6,True,True,True,True,True
100067280,random,8.350657325696954,1361.7644638727975,0.8,0.004042990451401616,1.2619398890122973e-06,2246,5,True,True,True,True,True
