tic,P,Rp,b,seed,k,obs_R,obs_span,obs_nfreq,P_hat,period_match,epoch_match,seed_correct,t14_seeded,t0_hat,Lb,P_true,t0_true,t14_true,n_transits,gR,gW,recR,recW,baseline,sector_class
155986202,0.5,4,0.6,20260696,47,0.9952081551218128,24.498465653651692,142,0.5003012295329015,True,True,True,0.05,1369.2134893963273,0.15,0.5,1356.2148612214758,0.059561091196515,50,True,True,True,True,24.90402224034642,1-sector
150188659,0.5,8,0.0,20260712,48,0.9734811554861506,24.512614947588645,142,0.5009567748858471,True,True,True,0.05,1335.9243500760474,0.15,0.5,1343.928965642714,0.1135264091561643,51,True,True,True,True,25.38067398253179,1-sector
114918596,0.5,4,0.3,20260707,46,0.9779811376818852,24.48848405210856,142,0.5003980480295017,True,True,True,0.05,1335.3150038539773,0.15,0.5,1328.3064180539404,0.0479802224311264,51,True,True,True,True,25.271799287153044,1-sector
268765642,0.5,4,0.6,20260708,31,0.9320036995227418,17.49332535553367,100,0.5002649275461042,True,True,True,0.05,1389.8185764286914,0.15,0.5,1388.8172791148386,0.0751202027013162,36,True,True,True,True,17.77666158081047,1-sector
308209064,0.5,4,0.0,20260703,5,0.8980529468281171,12.338934251348746,72,1.121721295577159,False,False,False,0.1,1369.9394405920214,0.3,0.5,1371.4501678897934,0.118156567886732,50,False,False,False,False,24.904415701549624,1-sector
231704229,0.5,4,0.3,20260704,50,0.9418198296486978,24.98463842532692,145,0.5000036130716978,True,True,True,0.05,1335.3140348128425,0.15,0.5,1343.819354818531,0.0430024318645612,51,True,True,True,True,25.3790830771768,1-sector
251885542,0.5,4,0.3,20260701,46,0.989116091612264,23.989179444836736,139,0.5005410662214994,True,True,True,0.05,1361.3168931875284,0.15,0.5,1364.8069629531087,0.0752603493250008,50,True,True,True,True,24.904467521268998,1-sector
375059160,0.5,4,0.6,20260702,14,0.6661029750749206,51.56947488117907,306,0.5007623572399861,True,False,False,0.05,1345.2687791859348,0.15,0.5,1355.7583613382176,0.0316181314513714,157,False,False,False,False,78.41685560613496,2-sector
469939625,0.5,4,0.0,20260697,43,0.994213019235016,24.49424413150973,142,0.5002184302769666,True,True,True,0.05,1364.9094115959326,0.15,0.5,1376.400825210745,0.0414224614671682,50,True,True,True,True,24.903958197716747,1-sector
150359212,0.5,4,0.3,20260698,127,0.978380047012682,78.01586054218728,463,0.5001346038767451,True,True,True,0.05,1331.8589536145298,0.15,0.5,1330.354814396719,0.045319275756414,157,True,True,True,True,78.41864062657578,2-sector
251828912,0.5,8,0.0,20260709,47,0.9581127512172652,23.98909486621824,139,0.5005393028396224,True,True,True,0.05,1373.85613893988,0.15,0.5,1371.856049602102,0.0584832969656624,50,True,True,True,True,24.904381417703007,1-sector
150104808,0.5,8,0.3,20260710,13,0.6913595112454193,58.01268570936577,344,31.99941497959179,False,False,False,0.05,1366.3649843119636,0.15,0.5,1373.216400973678,0.1175773957293045,157,False,False,False,False,78.4169142712758,2-sector
