tic,k,obs_R,obs_nfreq,ge_own,ge_fixed,gate_own,gate_fixed
260420823,39,0.4749692863799372,436,51,49,False,False
260476107,35,0.36749153363565856,429,836,834,False,False
267324071,6,0.7209675788555098,101,686,673,False,False
267324084,14,0.48678791335532234,139,717,716,False,False
267492210,4,0.9661937094921382,131,181,223,False,False
268534632,11,0.6540151964660952,92,289,282,False,False
267183401,10,0.6593508263424971,128,353,352,False,False
267188864,14,0.6444875368049114,140,186,189,False,False
267263253,12,0.6257814553662452,119,208,202,False,False
267320484,14,0.5220979471193654,125,529,514,False,False
260476779,37,0.38859250717166893,454,488,478,False,False
260507598,20,0.5663811303311828,435,105,113,False,False
260507876,43,0.321459590667317,415,896,887,False,False
260542381,21,0.5926855316026147,418,51,52,False,False
268769168,10,0.6118718677129521,86,571,564,False,False
268785978,10,0.537030084247951,85,775,775,False,False
269847768,9,0.5935667722241935,82,555,560,False,False
270166054,10,0.7552686478128747,116,128,137,False,False
270268773,12,0.5464140240267331,129,749,755,False,False
270269007,6,0.8807864179849068,135,280,300,False,False
270275818,20,0.5247386950296803,137,284,284,False,False
270286182,13,0.5156006730099402,96,601,611,False,False
270173850,10,0.5273677446218342,113,649,634,False,False
270174158,17,0.4345226195917563,136,739,740,False,False
270249497,12,0.6013182927752369,126,492,477,False,False
270260170,19,0.44915943096722266,133,819,827,False,False
270302483,11,0.5803019786848348,108,548,542,False,False
270303376,5,0.9173179577525922,119,115,133,False,False
270337261,11,0.7297311520678179,131,45,49,False,False
270378356,7,0.7145342655794025,72,215,181,False,False
270480629,11,0.7851558365506559,134,97,100,False,False
270481071,15,0.5229803833628057,117,457,446,False,False
270621379,17,0.4895408639152028,128,613,608,False,False
270621612,8,0.772731915696229,88,213,195,False,False
273569625,19,0.47236860667261715,140,627,632,False,False
273652136,9,0.7278545629622382,112,76,74,False,False
273699230,5,0.8675543065142886,87,419,408,False,False
273734245,10,0.6866335647165381,128,337,340,False,False
273792114,18,0.45646999021527757,123,541,535,False,False
277802122,2,0.9530153203872261,105,334,382,False,False
277891996,12,0.5630801011111621,127,492,485,False,False
277892347,14,0.5406402937664802,124,498,489,False,False
277892453,3,0.9982526928157208,66,80,82,False,False
277911424,17,0.4112420252689726,138,924,929,False,False
277911656,14,0.6455217057484758,129,290,278,False,False
277912869,9,0.6889777065675965,122,435,439,False,False
270622780,12,0.5508423653631231,130,508,501,False,False
